blog_post,government_db,registration_required,video_url,url,country,db_type,agency,paid,notes
http://www.investigativedashboard.org/2011/05/bvi-hidden-trap/,True,False,,http://www.bvifsc.vg/en-us/divisions/registryofcorporateaffairs.aspx,VG,business,Financial Services Commission,True,"Available: a form for Company Search Request which needs be emailed with credit card information for this service. Normally this only gives information about the registered agent, incorporation date and address. On some occasions the registry provides information about directors."
,True,True,,http://bvigazette.org/,VG,gazette,Virgin Islands Official Gazette,True,"Available: with free account you can only download three latest issues of the gazette. Archived issues are available with a yearly subscription of USD 450. In terms of company information, the BVI Gazette only publishes notifications about liquidation of companies."
,False,False,,http://www.companiesintheuk.co.uk/,GB,commercial,Companies In The UK,False,Available: basic information about companies + the number of companies registered  at a certain address.
,True,False,,http://www.moc.gov.kh/,KH,business,Ministry of Commerce,False,
,True,False,,http://www.journal-officiel.gouv.fr/balo,FR,gazette,Bulletin of Obligatory Legal Announcements,False,"The 'Bulletin des Annonces Légales Obligatoires' contains notices, mostly published by companies. These include annual accounts, securities issues and mergers. This site contains full information for the last 3 years, and some older data."
,True,False,,http://www.cis.gov.md/en,MD,business,"Official Company Registry - ""Camera Inregistrarii de Stat"" (CIS)",True,"Provides basic data about companies for free (such as registration number and date, full name, address). See ""Check-up details of legal entity"" in the left-hand menu.

Users can create an account (with contract) and purchase current records (no history available online) at costs ranging between 1,5 - 4 USD.

The webpage is in Romanian, English, Russian."
,False,False,,http://www.cis.gov.md/buletin_oficial,MD,court,Official Gazette,False,"Issued monthly, provides free access to a list of companies registered each month, with basic details (online data available since 2009)"
,False,False,,http://courts.justice.md/  ,MD,court,Database of Court Cases in the Republic of Moldova,False,"Free search by name of entity in all areas of the country, free access to court records when available online."
,False,False,,http://www.fisc.md/,MD,court,State Tax Service,False,"Provides free access to basic company data, including administrators names, address, registration number, financial status, type of activities. Search by company's registration number only (https://servicii.fisc.md/contribuabil.aspx).

The webpage is in Romanian, English, Russian"
,False,False,,http://www.leganet.cd/,CD,gazette,Official Gazette,False,"Free access to some official decisions regarding companies, public tenders, etc."
,False,False,,http://www.cpcai.cd/,CD,business,Registre du Commerce et du Crédit Mobilier (RCCM),False,"Limited searches, more about procedures of registering a business, no online company search at the moment"
,True,True,,http://a836-acris.nyc.gov/CP/,US,land,New York City Department of Finance,False,Searchable New York property database
,True,False,,http://www.legilux.public.lu/entr/search/index.php,LU,gazette,Legilux - Luxembourg Official Gazette,False,
,False,True,,http://www.moneyhouse.ch/,CH,commercial,Money House,False,"Money House offers search by company name or personal name. Search results include director names, sometimes shareholders, all the gazette notifications, registered company activity etc.
Results for person search include previous employments, connected companies and people."
,False,False,,http://foaf.sk/,SK,commercial,Project foaf.sk,False,"It gives data from the present, past, visualizes the network and shows you a timeline of all the relationships. It aggregates data from from the Commercial Register of the Slovak Republic, the Slovak tax authorities, general health insurance, Journal procurement and other databases."
,False,True,,http://www.gvin.com/,SI,commercial,gvin.com,True,"Search by names of directors/shareholders. Shows past engagements, and detects past company names. If a company changed its name, Ajpes would give nothing, while Gvin would detect it and put you through to the ""new"" company.
Offers all the financial data from annual reports (incl. for years before 2008/2009, which are usually the earliest years you get annual reports for at Ajpes). Info on tax paymnet, ongoing lawsuits and credit ratings (the latter is a payable service of Ajpes). As for documents, it is quite useful because all the available documents (except those you can find only at the court register) are in one place (memorandum/articles of association, insolvency reports, statutes, also changed ones). You can click on the address of a company and see what other companies are registered there."
,True,False,,http://supervizor.kpk-rs.si/,SI,regulatory,Anti Corruption Commission,False,Database of businesses between the private and public sector.
,True,True,,https://evlozisce.sodisce.si/esodstvo/index.html,SI,land,Supreme Court Republic of Slovenia,False,Land registry searchable by a particle number.
,True,False,,http://prostor3.gov.si/javni/login.jsp?jezik=sl,SI,land,Cadastre Office,False,Useful when you have an address but not the cadastral number. Use this site to identify the particle number so that more detailed data can be obtained from the Land Register
,True,False,,http://www.uppd.gov.si/si/delovna_podrocja/38_clen_zppdft/podatki_o_transakcijah_38_clen_zppdft/,SI,regulatory,Ministry of Finance,False,Anti Money Laundering Commission's periodically published data on transactions of Slovenian companies with tax havens
,True,False,,http://seznami.gov.si/DURS/main_neplacniki.html,SI,regulatory,Ministry of Finance,False,Periodically published data on companies that owe tax.
,True,False,,http://rson.justice.md/organizations,MD,business,Ministry of Justice,False,List of NGOs
,True,False,,http://www.malawi.gov.mw/index.php?option=com_content&view=article&id=43&Itemid=7,MW,business,"Ministry of Justice, Registrar General",False,Non-searchable online. Request can be filed through email or fax. Must be addressed to the Registrar General which handles the Corporate Registry. 
,True,False,,http://www.edbm.gov.mg/,MG,business,Economic Development Board of Madagascar,False,Corporate laws and regulations. Non-searchable online.
,True,False,,https://entreprises.impots.mg/nifonline/,MG,business,General Directorate of Taxes,False,Registration required. French. 
,True,False,,http://www.sipa.org.sz/index.php?option=com_content&task=view&id=15&Itemid=27,SZ,business,Registrar of Companies,False,Website frequently down. Non-searchable online.
,True,False,,http://www.oarg.gov.sl/,SL,business,Office of the Administrator and Registrar General ,False,Non-searchable online
,True,False,,http://www.ursb.go.ug/,UG,business,Registration and Services Bureau,False,
,True,False,,http://www.cipc.co.za/,ZA,ip,Company and Intellectual Property Commission,False,
,True,False,,http://www.pacra.org.zm/,ZM,business,Patents and Companies Registration Agency,False,Registration required.
,True,False,,http://www.stat-niger.org/statistique/pages/repentreprise/entreprise_list.php?pagesize=500,NE,land,Directory of Companies,False,French. Searchable online. 
,True,False,,https://kiosk.incv.cv/,CV,gazette,Office Gazette,False,Website frequently down.
,True,False,,http://www.mti.gov.na/,NA,business,Ministry of Trade and Industry,False,
,True,False,,http://www.mojss.org/Busireg/,SS,business,Ministry of Justice,False,Non-searchable online
,True,False,,https://eservice.egov.sc/BizRegistration/WebSearchBusiness.aspx,SC,land,Business Registry,False,Partially searchable online
,True,False,,http://www.ethiopia.gov.et/,ET,business,Ministry of Trade and Industry,False,Non-searchable online. 
,True,False,,http://inacep-gb.org/,GW,gazette,Boletim Oficial da República da Guiné-Bissau ,False,Portuguese. 2008-2010. 
,True,False,,http://org.rdb.rw/inf/Public/Products/NameSearch.aspx?AspxAutoDetectCookieSupport=1,RW,business,Office of the Registrar General,False,
,True,False,,http://www.portaldogoverno.gov.mz/Legisla/boletinRep/,MZ,business,Government Portal and Bulletin ,False,Portuguese. 
,True,False,,http://www.rgd.gov.gh/en/services.php,GH,business,Registrar General's Department,False,
,True,True,,http://cacnigeria.org/jm/,NG,business,Corporate Affairs Commission,False,
,True,False,,http://www.gov.ls/trade/,LS,business,"Registrar of Companies, Ministry of Trade",False,Non-searchable online. 
,True,False,,http://www.obs-industrie.sn/menuang/liste%20of%20entreprise.htm,SN,business,"Ministry of Industry, Directory of Enterprises",False,
,True,False,,http://www.attorney-general.go.ke/index.php/services/companies-registry,KE,business,"Companies Registry, Registrar General",False,Non-searchable online
,True,False,,http://www.ccd.dj/enterprise/,DJ,business,"Chamber of Commerce, Directory of Companies",False,French. 
,True,False,,http://www.directinfo.ma/,MA,business,Central Trade Registry,False,Payment required. 
,True,False,,http://ouidi.gov.bf/cgi-bin/sgg/library,BF,gazette,Official Gazette ,False,Website frequently down. 
,True,False,,http://www.iort.gov.tn/WD120AWP/WD120Awp.exe/CTX_4072-30-THkbrsKaiM/Accueil/SYNC_26973531,TN,gazette,Tunisian Journal Officiel. ,False,
,True,False,,http://www.joradp.dz/HEN/Index.htm,DZ,gazette,Officiel d'Algerie,False,
,True,False,,http://www.coursupreme.ma/en/default.asp,MA,court,Supreme Court of Morocco,False,Website often down. 
,True,False,,http://www.justice.gov.za/sca/index.htm,ZA,court,Supreme Court of Appeal of South Africa,False,
,True,False,,http://www.stj.st/stj/index.html,ST,court,Supreme Tribunal of Justice - Sao Tome and Principe,False,
,True,False,,http://www.supremecourt.gov.rw/,RW,court,Supreme Court of Rwanda,False,"Website temporarily suspended. Online database provides free access to judgement from Supreme Court, High Court and other subordinate courts. "
,True,False,,http://supremecourt.gov.ng/,NG,court,Supreme Court of Nigeria,False,"Judgements from 1963 available online. Original jurisdiction in conflicts between Federal government and a State, or between States. "
,True,False,,http://www.juricaf.org/recherche/+/pays:Niger,NE,court,Supreme Court of Niger,False,Decisions available online. 
,True,False,,http://www1.gov.mu/scourt/home/welcome.do,MU,court,Supreme Court of Mauritius,False,"Online access to judgements, legislation, cause lists etc from 2009."
,True,False,,http://www.cs.insti.ml/,ML,court,Supreme Court of Mali,False,"Online access to judgements of the Court. The final court of decision for social, civil, commercial and criminal cases. "
,True,False,,http://www.stj.cv/,CV,court,Tribunal of Justice - Cape Verde,False,Online access to judgements and legislation. Page link down. 
,True,False,,http://www.saflii.org/tz/cases/TZHC/,TZ,court,High Court of Tanzania,False,Online access from 1986-2009.
