agency,db_type,country_name,country,paid,registration_required,government_db,url,notes,blog_post,video_url
Regional Procurement Management Information System,Regional procurement registry,GLOBAL,GLOBAL,False,False,True,http://promis.comesa.int/,Available: calls for tenders and other procurement information for the COMESA region,,
National Registration Center,Business Registry,Albania,AL,False,False,True,http://www.qkr.gov.al/nrc/Kerko_Per_Subjekt.aspx,"Available: historic company extract, current company extract, some original documents",,
Tirana Stock Exchange,Business Registry,Albania,AL,False,False,False,http://www.tse.com.al/?fq=brenda&m=shfaqart&gj=gj2&aid=42,Information on specific securities not available for search.,,
Albanian Financial Supervisory Authority,Regulatory Agency,Albania,AL,False,False,True,https://amf.gov.al/tletrave.asp?id=2,,,
La Commission d'Organisation et de Surveillance des Opérations de Bourse (COSOB),Regulatory Agency,Algeria,DZ,False,False,True,http://www.cosob.org/les-emetteurs-societes-cotees.htm,,,
Centre National du Registre du Commerce,Business Registry,Algeria,DZ,False,False,True,http://www.cnrc.org.dz/fr/contact/,"Search is not available, but some information about the companies is available on request.",,
Kompass,Business Registry,Algeria,DZ,False,False,False,http://dz.kompass.com/en,,,
Dun & Bradstreet,Business Registry,GLOBAL,GLOBAL,True,True,False,http://www.dnb.com/,,,
Lexis-Nexis,Business Registry,GLOBAL,GLOBAL,True,True,False,http://www.lexisnexis.com/en-us/home.page,,,
European Business Registry,Business Registry,GLOBAL,GLOBAL,True,True,True,http://www.ebr.org/,,,
NYSE Euronext,Business Registry,GLOBAL,GLOBAL,False,False,False,https://europeanequities.nyx.com/en/members/member-list,Provides European equities market listings,,
Registro Nacional,Business Registry,GLOBAL,GLOBAL,False,False,False,http://registronacional.com/,"Original documents and company filings are not available, but it is a good resource for the institutions that might have different kinds of information in Latin America (cars, realestate, businesses etc.)",,
Doing Business,Business Registry,GLOBAL,GLOBAL,False,False,False,http://www.doingbusiness.org/,Describes and presents in a comprehensive way business regulation environments across economies ,,
Government of Angola,Business Registry,Angola,AO,False,False,True,http://www.governo.gov.ao/,"Government agencies, ministries and their jurisdiction",,
National Securities Commission,Business Registry,Argentina,AR,False,False,True,http://www.cnv.gob.ar/InfoFinan/BuscoSociedades.asp?TamanioSocID=0&Lang=1,,,
Buenos Aires Stock Exchange,Business Registry,Argentina,AR,False,False,True,http://www.bolsar.com/VistasDL/PaginaPrincipal.aspx,Offers quite detailed company information,,
Central Bank of Armenia,Business Registry,Armenia,AM,False,False,True,https://www.cba.am/am/SitePages/Default.aspx,Financial reports of traded companies. Information available only in Armenian.,,
